Original RegNo,Department,Semester
922522106091,Electronics and Communication Engineering -B,6
922522106071,Electronics and Communication Engineering -B,6
922522106096,Electronics and Communication Engineering -B,6
922522106082,Electronics and Communication Engineering -B,6
922522106113,Electronics and Communication Engineering -B,6
922522106102,Electronics and Communication Engineering -B,6
922522105031,Electrical and Electronics Engineering -A,6
922522105303,Electrical and Electronics Engineering -A,6
922522105029,Electrical and Electronics Engineering -A,6
922524243177,Artificial Intelligence and Data Science -C,2
922524243185,Artificial Intelligence and Data Science -C,2
922524243174,Artificial Intelligence and Data Science -C,2
922524243143,Artificial Intelligence and Data Science -C,2
922524243160,Artificial Intelligence and Data Science -C,2
922524243162,Artificial Intelligence and Data Science -C,2
922524243175,Artificial Intelligence and Data Science -C,2
922524243140,Artificial Intelligence and Data Science -C,2
922524243142,Artificial Intelligence and Data Science -C,2
922524243139,Artificial Intelligence and Data Science -C,2
922524243205,Artificial Intelligence and Data Science -D,2
922524243173,Artificial Intelligence and Data Science -C,2
922524243135,Artificial Intelligence and Data Science -C,2
922524243219,Artificial Intelligence and Data Science -D,2
922524243146,Artificial Intelligence and Data Science -C,2
922524243215,Artificial Intelligence and Data Science -D,2
922524243129,Artificial Intelligence and Data Science -C,2
922524243144,Artificial Intelligence and Data Science -C,2
922523103004,Civil Engineering -A,4
922523103008,Civil Engineering -A,4
922523103010,Civil Engineering -A,4
922522103004,Civil Engineering -A,6
922522103006,Civil Engineering -A,6
922522103015,Civil Engineering -A,6
922523103006,Civil Engineering -A,4
922522103301,Civil Engineering -A,6
922522103303,Civil Engineering -A,6
922523103012,Civil Engineering -A,4
922523103002,Civil Engineering -A,4
922522103007,Civil Engineering -A,6
922522103003,Civil Engineering -A,6
922523103013,Civil Engineering -A,4
922522103009,Civil Engineering -A,6
922523103003,Civil Engineering -A,4
922523103011,Civil Engineering -A,4
922523103009,Civil Engineering -A,4
922523103001,Civil Engineering -A,4
922522103304,Civil Engineering -A,6
922523103007,Civil Engineering -A,4
922523103005,Civil Engineering -A,4
922522103005,Civil Engineering -A,6
922522103014,Civil Engineering -A,6
922522103001,Civil Engineering -A,6
922522103012,Civil Engineering -A,6
922522103013,Civil Engineering -A,6
922523103501,Civil Engineering -A,4
922522103302,Civil Engineering -A,6
922522103002,Civil Engineering -A,6
922522103011,Civil Engineering -A,6
922522103010,Civil Engineering -A,6
922524103028,Civil Engineering -A,2
922524103022,Civil Engineering -A,2
922524203023,Chemical Engineering -A,2
922524103012,Civil Engineering -A,2
922524103008,Civil Engineering -A,2
922524103002,Civil Engineering -A,2
922524203015,Chemical Engineering -A,2
922524203018,Chemical Engineering -A,2
922524103001,Civil Engineering -A,2
922524103003,Civil Engineering -A,2
922524103004,Civil Engineering -A,2
922524103005,Civil Engineering -A,2
922524103006,Civil Engineering -A,2
922524103007,Civil Engineering -A,2
922524103009,Civil Engineering -A,2
922524103010,Civil Engineering -A,2
922524103011,Civil Engineering -A,2
922524103013,Civil Engineering -A,2
922524103014,Civil Engineering -A,2
922524103015,Civil Engineering -A,2
922524103016,Civil Engineering -A,2
922522106119,Electronics and Communication Engineering -B,6
922524103017,Civil Engineering -A,2
